UPC,SKU #,Name,Manufacturer,Segment,PTS of Distro,% of Distro,1,8,12,19,27,36,39,40,42,45,46,48,49,52,53,54,64,65,66,67,71,72,73,76,77,78,82,83,86,87,88,89,91,92,93,94,95,96,98,100,102,103,105,334,371,386,551,552,553,554,555,556,559,600,601,602,604,605,608,609,610,612,613,614,615,616,617,619,622,623,625,626,627,631,635,650,651,654,655,657,781
8954053531,,ABSOLUT BERRY VODKARITA 4/12C,SPIRITS,RTD,51,62%,1,,1,,1,,,1,,1,1,1,1,,1,,,1,,,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,,1,1,1,1,,1,,1,1,1,1,,,1,1,,1,1,1,1,,1,,,1,1,1,1,,1
8954053529,,ABSOLUT GRAPEFRUIT PALOMA 4/12C,SPIRITS,RTD,80,98%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8954053528,,ABSOLUT MANGO MULE 4/12C,SPIRITS,RTD,42,51%,1,,1,,1,,,1,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,1,1,1,1,,1,1,,,1,,,1,,1,1,,1,,,,,,1,,1
8954053541,,ABSOLUT PINEAPPLE MARTINI 4/12C,SPIRITS,RTD,23,27%,1,,1,1,1,,,,,1,1,1,1,,1,,,,,,,,,,1,1,1,,,,,1,,,1,,,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,1,,
79844902004,,ACE GUAVA CIDER 6/12C,MICRO BREWERIES,CIDER,38,46%,1,,,1,1,,1,1,,1,1,,1,,1,1,,,,,,,1,1,1,1,1,,,,1,,1,1,1,,1,1,1,,1,1,,,,,1,,,,1,,,1,1,1,1,1,,,1,1,,,1,,,1,,,1,,,,,,,,1,,1
79844906004,,ACE HIGH CIDER 6/12C,MICRO BREWERIES,CIDER,6,6%,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
79844905004,,ACE HIGH PEACH 6/12C,MICRO BREWERIES,CIDER,34,41%,1,,1,,1,,1,1,,1,1,1,,,1,,,,,,,,,1,1,,1,,1,1,,1,,,1,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,1,1,,,,1,1,,,1,,,1,1,,,,,,,,,,1,,1
79844900823,,ACE PINEAPPLE CIDER 1/19C,MICRO BREWERIES,SINGLES,6,6%,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1
79844900824,,ACE PINEAPPLE CIDER 6/12C,MICRO BREWERIES,CIDER,5,6%,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,
79844901006,,ACE SPACE BLOODY ORANGE CIDER 1/19C,MICRO BREWERIES,SINGLES,33,40%,1,,1,,1,,,1,,,1,1,,1,,1,,,,,,1,,,,,1,,,,1,,,1,,1,1,1,,1,,1,1,,,1,,,,,,,1,1,1,1,,1,1,,1,1,,,1,1,,,1,1,,,,,,,,,,1,1
79844900903,,ACE VARIETY CIDER 12/12C,MICRO BREWERIES,CIDER,5,6%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
81003051179,,ALANI HD SLTZR VARIETY 12/12C SC,MICRO BREWERIES,SELTZER,3,2%,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81003051243,,ALANI HD SLTZR VARIETY 2 12/12C SC,MICRO BREWERIES,SELTZER,3,2%,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81246500195,,ALESMITH SPEEDWAY STOUT 4/16C,MICRO BREWERIES,CRAFT,11,14%,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,1,,,1,,,,,,,1,,1,,,,,,,,,,
60367510168,,ALLAGASH WHITE 6/12C,MICRO BREWERIES,CRAFT,33,40%,1,,1,,1,,1,1,,1,,1,,,1,,,,,,,,,1,1,1,1,,1,1,,1,,,1,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,,1,,1,,1,1,,,1,,,1,,,,,,,,,,,1,,1
7278361233,,ANCHOR HAZY IPA 6/12C,MICRO BREWERIES,CRAFT,4,5%,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7278311901,,ANCHOR STEAM 1/19C,MICRO BREWERIES,SINGLES,17,21%,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,,1,1,,1,1,1,,,,,,,1,,,1,,1,,,,,,,,,1,
7278321298,,ANCHOR VARIETY 12/12C,MICRO BREWERIES,CRAFT,57,69%,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,,1,1,1,1,1,1,1,,1,1,1,1,,,1,,,,1,1,,1,1,,,1,1,,,,1,1,1,1
912500401,,ANDERSON VALLEY BOONT AMBER ALE 6/12C,MICRO BREWERIES,CRAFT,7,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,,,,
